batch,repo,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact
,screenshot_to_code_gem25,screenshot_to_code_gem25,253,0.6887,0.9028,0.664,0.8705,0.2372,0.6742,0.6844,0.809,1.0,,0.6742,0.6415,0.6667,1.0,,16,0,0.6881,0.6737,0.6364,0.6213
,screenshot_to_code_gem25_2,screenshot_to_code_gem25_2,253,0.6887,0.9028,0.664,0.8705,0.2372,0.6742,0.6844,0.809,1.0,,0.6742,0.6415,0.6667,1.0,,16,0,0.6881,0.6737,0.6364,0.6213
,screenshot_to_code_ll,screenshot_to_code_ll,253,0.1812,0.9167,0.166,0.84,0.8024,0.2045,0.1336,0.3056,0.3333,,0.2045,0.1132,0.1667,0.3333,,16,0,0.2045,0.2173,0.154,0.1661
,screenshot_to_code_ll_2,screenshot_to_code_ll_2,253,0.1812,0.9167,0.166,0.84,0.8024,0.2045,0.1336,0.3056,0.3333,,0.2045,0.1132,0.1667,0.3333,,16,0,0.2045,0.2173,0.154,0.1661
,ghunt_c37,ghunt_c37,5,0.6,1.0,0.6,1.0,0.4,0.5,0.6667,,,,0.5,0.6667,,,,0,0,0.625,0.625,0.625,0.625
,ghunt_c37_2,ghunt_c37_2,5,0.6,1.0,0.6,1.0,0.4,0.5,0.6667,,,,0.5,0.6667,,,,0,0,0.625,0.625,0.625,0.625
,ghunt_c4,ghunt_c4,5,0.6,1.0,0.6,1.0,0.4,0.5,0.6667,,,,0.5,0.6667,,,,0,0,0.625,0.625,0.625,0.625
,ghunt_c4_2,ghunt_c4_2,5,0.6,1.0,0.6,1.0,0.4,0.5,0.6667,,,,0.5,0.6667,,,,0,0,0.625,0.625,0.625,0.625
,ghunt_g41,ghunt_g41,5,0.6,1.0,0.6,1.0,0.4,0.5,0.6667,,,,0.5,0.6667,,,,0,0,0.625,0.625,0.625,0.625
,ghunt_g41_2,ghunt_g41_2,5,0.6,1.0,0.6,1.0,0.4,0.5,0.6667,,,,0.5,0.6667,,,,0,0,0.625,0.625,0.625,0.625
,ghunt_gem25,ghunt_gem25,5,0.6,1.0,0.6,1.0,0.4,0.5,0.6667,,,,0.5,0.6667,,,,0,0,0.625,0.625,0.625,0.625
,ghunt_gem25_2,ghunt_gem25_2,5,0.6,1.0,0.6,1.0,0.4,0.5,0.6667,,,,0.5,0.6667,,,,0,0,0.625,0.625,0.625,0.625
,ghunt_ll,ghunt_ll,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,,,,0,0,0.0,0.0,0.0,0.0
,ghunt_ll_2,ghunt_ll_2,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,,,,0,0,0.0,0.0,0.0,0.0
,private_gpt_c37,private_gpt_c37,448,0.7128,0.9618,0.6808,0.9187,0.2589,0.7197,0.7157,0.6808,,0.0,0.699,0.685,0.5333,,0.0,0,0,0.7461,0.7461,0.6613,0.6632
,private_gpt_c37_2,private_gpt_c37_2,448,0.7128,0.9618,0.6808,0.9187,0.2589,0.7197,0.7157,0.6808,,0.0,0.699,0.685,0.5333,,0.0,0,0,0.7461,0.7461,0.6613,0.6632
,private_gpt_c4,private_gpt_c4,448,0.7235,0.9533,0.6942,0.9147,0.2411,0.7422,0.6869,0.6802,,1.0,0.7232,0.6535,0.5667,,1.0,0,0,0.809,0.8,0.7581,0.7494
,private_gpt_c4_2,private_gpt_c4_2,448,0.7313,0.9636,0.7054,0.9294,0.2411,0.7422,0.7065,0.7136,,1.0,0.7232,0.6772,0.6333,,1.0,0,0,0.813,0.81,0.7661,0.7632
,private_gpt_g41,private_gpt_g41,448,0.7185,0.9304,0.6496,0.841,0.2277,0.7429,0.6854,0.6391,,0.5,0.7232,0.5827,0.2667,,0.0,0,0,0.7675,0.7608,0.6452,0.6171
,private_gpt_g41_2,private_gpt_g41_2,448,0.7247,0.9356,0.6674,0.8617,0.2254,0.7463,0.6952,0.6557,,0.5,0.7266,0.622,0.3333,,0.0,0,0,0.7871,0.7834,0.6573,0.644
,private_gpt_gem25,private_gpt_gem25,448,0.7134,0.957,0.6741,0.9042,0.2545,0.7197,0.7131,0.7019,,0.0,0.6955,0.6535,0.6,,0.0,0,3,0.7433,0.7442,0.6532,0.6573
,private_gpt_gem25_2,private_gpt_gem25_2,448,0.709,0.9567,0.6696,0.9036,0.2589,0.7197,0.7052,0.6686,,0.0,0.6955,0.6457,0.5667,,0.0,0,1,0.7271,0.7271,0.6371,0.6402
,private_gpt_ll,private_gpt_ll,448,0.1719,0.9062,0.1674,0.8824,0.8103,0.2128,0.1026,0.0833,,0.0,0.2111,0.0945,0.0667,,0.0,0,0,0.2204,0.2103,0.2177,0.2077
,private_gpt_ll_2,private_gpt_ll_2,448,0.1742,0.918,0.1696,0.8941,0.8103,0.2163,0.1026,0.0833,,0.0,0.2145,0.0945,0.0667,,0.0,0,0,0.2366,0.2256,0.2339,0.2231
,pandasai_c37,pandasai_c37,415,0.729,0.9031,0.6723,0.8328,0.1928,0.7365,0.6776,0.8738,0.9083,,0.7305,0.5547,0.7308,0.4,,50,1,0.683,0.6742,0.5592,0.5521
,pandasai_c37_2,pandasai_c37_2,415,0.7115,0.8815,0.6361,0.7881,0.1928,0.7072,0.6776,0.8834,0.9083,,0.6719,0.5547,0.7308,0.4,,50,1,0.6847,0.6756,0.5592,0.5521
,pandasai_c4,pandasai_c4,415,0.7006,0.8947,0.6723,0.8585,0.2169,0.6721,0.723,0.8299,0.9181,,0.6641,0.6875,0.6538,0.8,,50,3,0.66,0.6786,0.5658,0.599
,pandasai_c4_2,pandasai_c4_2,415,0.7163,0.9091,0.6747,0.8563,0.212,0.6936,0.7309,0.8299,0.9181,,0.6641,0.6953,0.6538,0.8,,50,0,0.66,0.6786,0.5658,0.599
